,0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,Robustness metric Damage,Robustness metric Dike Costs,Robustness metric RfR Costs,Robustness metric Evacuation Costs,Robustness metric Deaths
28,0,1,0,0,1,1,0,0,0,0,1,7,0,9,0,9,0,10,0,10,0,0.94,0.2773010267473025,0.146,2.178097695226072e-08,0.94
29,0,0,0,0,1,1,0,0,0,0,0,9,0,9,0,10,0,10,0,10,0,0.94,0.2980323535805067,0.0614,0.0,0.94
30,0,1,0,0,1,1,0,0,0,0,0,5,0,9,0,10,0,10,0,10,0,0.92,0.2667404989772127,0.146,0.0,0.92
31,0,0,0,0,0,0,0,0,0,0,2,7,0,9,0,9,0,9,0,10,0,0.85,0.2750607685152173,0.0,2.753495132576281e-07,0.85
32,1,1,0,0,1,1,1,1,0,0,2,3,0,7,0,9,0,10,0,9,0,0.91,0.2297143484559793,0.473,1.9638341975930366e-07,0.91
33,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,10,0,10,0,0.88,0.29442638458150194,0.0,0.0,0.88
34,1,0,0,0,1,1,0,1,0,0,2,7,0,9,0,9,0,9,0,10,0,0.96,0.2750607685152173,0.2672,2.2219244863281137e-08,0.96
35,1,1,0,0,1,1,1,0,0,0,3,5,0,7,0,9,0,9,0,10,0,0.93,0.2442177158155136,0.3518,6.623696671535242e-08,0.93
36,1,1,0,0,1,1,1,0,0,0,1,3,0,7,0,9,0,9,0,9,0,0.89,0.22747409022389406,0.3518,5.3454937906368486e-08,0.89
37,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,9,0,10,0,10,0,0.81,0.2698793366343455,0.0,0.0,0.81
38,0,1,1,0,1,1,1,1,0,0,1,5,0,9,0,9,0,10,0,10,0,0.98,0.263134529978208,0.6062,7.036657497299477e-09,0.98
39,1,1,0,0,1,1,0,1,0,0,2,5,0,9,0,9,0,10,0,10,0,0.96,0.263134529978208,0.3518,1.4959703492815896e-08,0.96
40,1,0,0,0,1,1,0,0,0,0,0,4,0,7,0,8,0,9,0,9,0,0.8,0.22970651906095435,0.146,0.0,0.8
41,1,1,0,0,1,1,1,0,0,0,4,0,0,9,0,9,0,10,0,9,0,0.79,0.20409939873221244,0.3518,1.403453554321455e-06,0.79
42,1,1,1,1,1,1,1,1,1,1,3,0,0,9,0,9,0,10,3,10,0,0.95,0.2209912070737512,1.4208,2.1586215937163115e-07,0.95
43,1,1,1,0,1,0,0,0,0,0,2,0,0,8,0,9,0,9,0,10,0,0.82,0.19820717046858616,0.4177,4.336332310081958e-07,0.82
44,1,1,0,0,1,1,1,0,0,0,0,0,0,8,0,9,0,9,0,10,0,0.78,0.19820717046858616,0.3518,0.0,0.78
45,1,1,1,0,1,1,0,1,0,0,0,0,0,8,0,9,0,10,0,9,0,0.85,0.1953848036416332,0.5696,0.0,0.85
46,1,0,0,0,1,1,0,0,0,0,2,5,0,8,0,8,0,9,0,10,0,0.87,0.248855663185526,0.146,2.257625559690701e-07,0.87
47,0,1,0,0,1,1,0,0,0,0,1,6,0,8,0,9,0,9,0,10,0,0.9,0.2589244833116809,0.146,1.290537179951685e-07,0.9
48,0,0,0,0,1,1,0,0,0,0,1,6,0,8,0,9,0,9,0,10,0,0.87,0.2589244833116809,0.0614,1.9279496205843227e-07,0.87
