discount rate 0,discount rate 1,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,EWS_DaysToThreat,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,7.0,3.0,4.0,9.0,1.0,reference,38,dikesnet,8032659.141093308,427260604.0418583,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,39,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,9.0,9.0,1.0,reference,40,dikesnet,8032659.141093308,460324426.1515579,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,7.0,1.0,reference,41,dikesnet,8032659.141093308,419269619.9212353,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,2.0,reference,42,dikesnet,8032659.141093308,429473323.8533088,0.0,138.15788429139403,0.0009941514808850804
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,43,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,44,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,45,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,46,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,47,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,48,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,4.0,2.0,0.0,reference,49,dikesnet,1872854.244644103,466548115.9917521,0.0,0.0,0.0012170401519017628
