A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.0458984375,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,Policy 0,dikesnet,564721847.1454916,0,0.0,0.0,0.5315079596834671
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,317.8125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.5,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.0693359375,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Policy 0,dikesnet,1133770335.862843,0,0.0,0.0,2.054904668319011
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,57.1875,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1611328125,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,Policy 0,dikesnet,130234357.71178837,0,0.0,0.0,0.09792376737291254
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,152.8125,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
