A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,A.1_Expected Annual Damage,A.2_Expected Annual Damage,A.3_Expected Annual Damage,A.4_Expected Annual Damage,A.5_Expected Annual Damage,A.1_Expected number of deaths,A.2_Expected number of deaths,A.3_Expected number of deaths,A.4_Expected number of deaths,A.5_Expected number of deaths
100.0,186.84259850405394,1.0,0.5063059419536832,143.71935986890418,10,0.47578779280122724,154.8735310027496,1.0,0.6090203401757612,97.56987405829686,10,0.4265199372896626,211.23537534632075,10,0.6629914072670476,4.5,2.5,1.5,73717184.12599035,22590457.279988088,11933562.642108902,15261096.779183064,0.0,0.15321428969777592,0.06214310999946256,0.0630827734046603,0.02076118562728157,0.0
95.0,137.42903109312795,1.0,0.13299611190427973,66.3429224556618,10,0.653135540209909,215.73190445548133,1.5,0.5713329509854346,79.02845638567389,1.5,0.2328553652291256,334.61339146371597,1.0,0.229028129838787,3.5,1.5,4.5,858154161.066623,0.0,0.0,3430097.442041511,6657398.561386354,1.791189091066184,0.0,0.0,0.004902617547541726,0.01866312504481823
110.0,164.0923449192581,1.0,0.8859844102739506,253.3823077502888,10,0.32770113901899967,171.76592425296843,1.5,0.14311064612520707,136.38160227915753,1.0,0.800290333393361,102.14757809813393,10,0.051344669414072404,2.5,2.5,2.5,0.0,68850688.55267248,674986401.6526428,0.0,18019086.68833936,0.0,0.18521262704386066,3.3107974151665,0.0,0.044243724015631765
67.0,74.66274816976025,1.0,0.7311499589386693,197.71187159467507,10,0.38572791719013155,54.89376601076434,1.5,0.9945929622488169,246.14562923520714,10,0.07278435536802509,321.6058855507577,10,0.5130374447827357,1.5,2.5,2.5,9214574.497957807,46375752.580834344,0.0,56407971.95164878,0.0,0.01777561727184922,0.1151803740544515,0.0,0.06411605808920473,0.0
61.0,263.1662664485219,10,0.4965141160447497,294.7491167569028,10,0.8582991274370443,283.49256053362615,10,0.10800583818743097,117.67664418417158,10,0.8445449671605305,62.92192697711685,1.0,0.40816759271888226,1.5,3.5,2.5,77511331.83347921,1461662.6595443878,691648665.3609886,0.0,0.0,0.1537101433311372,0.004013499080930066,3.279741047150355,0.0,0.0
43.0,338.74414819666873,1.0,0.8567759837910972,301.43566075660027,1.0,0.9799871617591773,178.8389395377568,1.0,0.3292221969185137,85.75462832823501,10,0.2092230911159971,340.1807038729693,1.5,0.2524523877575573,3.5,1.5,1.5,0.0,6336221.957486284,228178814.06676832,28878119.8600902,9829128.499257693,0.0,0.016189837352887024,1.032137997548907,0.03288904161060407,0.022329447084247857
86.0,180.38670253059536,1.5,0.24556048867211167,252.59556989295302,1.0,0.8970622307698884,41.618013072810044,10,0.7408381510557683,219.55612191495845,10,0.5027270077989869,286.17788044883895,1.0,0.9556390352851916,2.5,3.5,2.5,875896842.4921749,0.0,0.0,0.0,0.0,1.7968607199056628,0.0,0.0,0.0,0.0
132.0,346.2671917597293,1.5,0.19915481498089435,71.30067353033485,1.0,0.6119669560916466,222.92167159150085,10,0.28273732261120066,54.37451038527148,1.0,0.9971541675559205,30.2424194752096,1.0,0.23674173758100128,2.5,3.5,2.5,874390056.31674,0.0,0.0,0.0,0.0,1.7929809487861967,0.0,0.0,0.0,0.0
105.0,306.4179239186653,10,0.4263223693663878,91.67014510820337,10,0.5622491758652501,178.17832176341136,10,0.2822768841938188,126.06211874081595,1.0,0.35474812058200317,292.0031324408553,1.5,0.11309257160488875,1.5,4.5,1.5,280720723.79760826,0.0,355885182.8694789,1444448.8841487644,36623024.31589929,0.5162527930848282,0.0,1.6411078406653723,0.00175316563477669,0.0847071780795211
32.0,151.0467037623277,10,0.39299182673318156,93.48679882016998,10,0.636165548376396,199.5775707741275,1.5,0.10309007225012404,310.34041826188434,1.0,0.02983493015274906,149.85119457854807,1.5,0.7959670061261994,2.5,2.5,3.5,365993090.23454106,0.0,618074148.9653739,11997195.52554359,0.0,0.7713150694012548,0.0,3.2216998193186415,0.01087846467658046,0.0
128.0,282.2887985034988,10,0.5855189412723254,109.48191333107563,1.5,0.17918823258392244,197.98398000181837,10,0.6214560971891129,138.6351217763462,1.5,0.6615361517851159,339.4500964554515,1.0,0.08885807530887177,2.5,2.5,4.5,35833797.062948525,118374342.35292652,0.0,0.0,150520867.56210774,0.08408785528577806,0.34841973859970055,0.0,0.0,0.425438637787521
28.0,38.49404364545413,1.0,0.7852011433753701,156.31804431034396,1.0,0.08977806251648042,46.93461633326239,1.5,0.9111617386959863,320.4058438048543,10,0.43046833471925544,145.60205296298935,10,0.8350355972702733,4.5,2.5,4.5,2382274.2943608304,201029546.37178105,0.0,371028.2509604178,0.0,0.006611634727507207,0.6628275098510166,0.0,0.0006428906255134482,0.0
